PC6,traffic_area,built_up_area,semi_built_up_area,recreational_area,agrarian_area,forest_nature_are,water_body_area
1012CN,0.0,8.4299,0.0,0.0,0.0,0.0,1.7091
1012CP,0.0,8.4299,0.0,0.0,0.0,0.0,1.7091
1012CR,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012CS,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012CT,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012CV,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012CW,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012CX,0.0,8.4299,0.0,0.0,0.0,0.0,1.7091
1012CZ,0.0,8.4299,0.0,0.0,0.0,0.0,1.7091
1012DA,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012DB,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012DC,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012DD,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012DE,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012DG,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012DH,0.0,8.4299,0.0,0.0,0.0,0.0,1.7091
1012DJ,0.0,8.4299,0.0,0.0,0.0,0.0,1.7091
1012DK,0.0,8.4299,0.0,0.0,0.0,0.0,1.7091
1012DL,0.0,8.4299,0.0,0.0,0.0,0.0,1.7091
1012DM,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607
1012DN,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012DP,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012DR,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012DS,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012DT,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012DV,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012DW,0.0,8.4299,0.0,0.0,0.0,0.0,1.7091
1012DX,0.0,8.4299,0.0,0.0,0.0,0.0,1.7091
1012DZ,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607
1012EA,0.4118,5.69655,0.0,0.0,0.0,0.0,1.5379500000000002
1012EB,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012EC,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012ED,0.0,7.3317,0.0,0.0,0.0,0.0,1.3621500000000002
1012EE,0.0,8.4299,0.0,0.0,0.0,0.0,1.7091
